category,sub-category,university,ranking
Natural Sciences,Mathematics,Cankaya University,59.2
Natural Sciences,Mathematics,Carlos III University of Madrid,38.7
Natural Sciences,Mathematics,COMSATS University Islamabad,61.6
Natural Sciences,Mathematics,Cornell University,38.3
Natural Sciences,Mathematics,CY Cergy Paris University,23.6
Natural Sciences,Mathematics,International School for Advanced Studies,38.3
Natural Sciences,Mathematics,King Khalid University,56.6
Natural Sciences,Mathematics,King Saud University,69.2
Natural Sciences,Mathematics,Kyushu University,27.5
Natural Sciences,Mathematics,Louisiana State University - Baton Rouge,30.6
Natural Sciences,Mathematics,McGill University,38.3
Natural Sciences,Mathematics,Paul Sabatier University (Toulouse 3),50.0
Natural Sciences,Mathematics,Polytechnic University of Milan,51.6
Natural Sciences,Mathematics,Polytechnic University of Turin,38.0
Natural Sciences,Mathematics,Prince Sattam Bin Abdulaziz University,63.7
Natural Sciences,Mathematics,Prince Sultan University,59.0
Natural Sciences,Mathematics,Shandong University of Science and Technology,61.9
Natural Sciences,Mathematics,Southeast University,67.1
Natural Sciences,Mathematics,Technical University of Munich,47.4
Natural Sciences,Mathematics,The Hong Kong Polytechnic University,49.6
Natural Sciences,Mathematics,The University of Glasgow,25.2
Natural Sciences,Mathematics,The University of Manchester,36.7
Natural Sciences,Mathematics,University of Belgrade,42.0
Natural Sciences,Mathematics,University of Birmingham,31.0
Natural Sciences,Mathematics,University of Bristol,32.5
Natural Sciences,Mathematics,"University of California, Irvine",36.8
Natural Sciences,Mathematics,"University of California, Riverside",24.8
Natural Sciences,Mathematics,"University of California, Santa Barbara",33.6
Natural Sciences,Mathematics,University of Copenhagen,28.2
Natural Sciences,Mathematics,University of Erlangen-Nuremberg,38.1
Natural Sciences,Mathematics,University of Florence,41.7
Natural Sciences,Mathematics,University of Jyvaskyla,33.8
Natural Sciences,Mathematics,University of Ljubljana,42.4
Natural Sciences,Mathematics,University of Montpellier,32.4
Natural Sciences,Mathematics,University of Montreal,34.5
Natural Sciences,Mathematics,University of Munich,29.6
Natural Sciences,Mathematics,University of Paderborn,32.0
Natural Sciences,Mathematics,University of Pennsylvania,31.1
Natural Sciences,Mathematics,University of Porto,32.9
Natural Sciences,Mathematics,University of Sao Paulo,54.4
Natural Sciences,Mathematics,University of South Carolina - Columbia,38.6
Natural Sciences,Mathematics,University of South Florida,25.8
Natural Sciences,Mathematics,University of Virginia,28.4
Natural Sciences,Mathematics,University of Warsaw,41.1
Natural Sciences,Mathematics,University of Zagreb,40.3
Natural Sciences,Mathematics,Vienna University of Technology,45.3
Natural Sciences,Mathematics,Xi'an Jiaotong University,59.9
Natural Sciences,Mathematics,AGH University of Krakow,39.0
Natural Sciences,Mathematics,Arizona State University,27.3
Natural Sciences,Mathematics,Beijing Normal University,59.4
Natural Sciences,Mathematics,Cairo University,39.6
Natural Sciences,Mathematics,City University of Hong Kong,46.9
Natural Sciences,Mathematics,Delft University of Technology,32.9
Natural Sciences,Mathematics,Ecole Centrale Lyon,42.3
Natural Sciences,Mathematics,Eotvos Lorand University,30.0
Natural Sciences,Mathematics,Hangzhou Normal University,40.3
Natural Sciences,Mathematics,Harbin Institute of Technology,73.6
Natural Sciences,Mathematics,Heriot-Watt University,36.9
Natural Sciences,Mathematics,INSA Lyon,44.6
Natural Sciences,Mathematics,Karlsruhe Institute of Technology (KIT),38.3
Natural Sciences,Mathematics,King Abdullah University of Science and Technology,28.8
Natural Sciences,Mathematics,King's College London,27.3
Natural Sciences,Mathematics,Korea Advanced Institute of Science and Technology,30.2
Natural Sciences,Mathematics,Mansoura University,52.1
Natural Sciences,Mathematics,McMaster University,29.0
Natural Sciences,Mathematics,Michigan State University,40.6
Natural Sciences,Mathematics,Monash University,37.5
Natural Sciences,Mathematics,Norwegian University of Science and Technology - NTNU,36.9
Natural Sciences,Mathematics,Polytechnic University of Valencia,55.8
Natural Sciences,Mathematics,Princess Nourah bint Abdulrahman University,52.8
Natural Sciences,Mathematics,Rice University,31.0
Natural Sciences,Mathematics,Rutgers University-Newark,15.1
Natural Sciences,Mathematics,Sogang University,30.5
Natural Sciences,Mathematics,Sun Yat-sen University,61.7
Natural Sciences,Mathematics,Taif University,47.8
Natural Sciences,Mathematics,Technical University of Cluj-Napoca,36.8
Natural Sciences,Mathematics,The Australian National University,31.4
Natural Sciences,Mathematics,The Ohio State University - Columbus,40.3
Natural Sciences,Mathematics,The University of Georgia,24.3
Natural Sciences,Mathematics,The University of New South Wales,40.4
Natural Sciences,Mathematics,University of Amsterdam,27.4
Natural Sciences,Mathematics,University of Basel,25.6
Natural Sciences,Mathematics,University of Bath,36.0
Natural Sciences,Mathematics,University of Bern,18.4
Natural Sciences,Mathematics,University of Bucharest,34.7
Natural Sciences,Mathematics,University of Buenos Aires,35.7
Natural Sciences,Mathematics,University of Cologne,27.9
Natural Sciences,Mathematics,University of Côte d'Azur,39.9
Natural Sciences,Mathematics,University of Electronic Science and Technology of China,63.7
Natural Sciences,Mathematics,University of Naples Federico II,44.6
Natural Sciences,Mathematics,University of Padua,47.6
Natural Sciences,Mathematics,University of Rennes,35.9
Natural Sciences,Mathematics,"University of Science, Malaysia",28.2
Natural Sciences,Mathematics,University of Strasbourg,29.8
Natural Sciences,Mathematics,University of Turin,38.4
Natural Sciences,Mathematics,University of Victoria,41.7
Natural Sciences,Mathematics,York University,33.0
Natural Sciences,Mathematics,Al-Azhar University,39.6
Natural Sciences,Mathematics,Aligarh Muslim University,40.7
Natural Sciences,Mathematics,Asia University,35.3
Natural Sciences,Mathematics,Baylor University,24.3
Natural Sciences,Mathematics,Beihang University,58.0
Natural Sciences,Mathematics,Beijing Institute of Technology,59.7
Natural Sciences,Mathematics,Benha University,35.9
Natural Sciences,Mathematics,Chalmers University of Technology,31.2
Natural Sciences,Mathematics,Chemnitz University of Technology,27.4
Natural Sciences,Mathematics,Curtin University,27.1
Natural Sciences,Mathematics,Durham University,31.0
Natural Sciences,Mathematics,Duy Tan University,36.8
Natural Sciences,Mathematics,East China Normal University,46.4
Natural Sciences,Mathematics,Free University Berlin,30.4
Natural Sciences,Mathematics,Ghent University,42.1
Natural Sciences,Mathematics,Government College University Faisalabad,37.8
Natural Sciences,Mathematics,Guangzhou University,57.7
Natural Sciences,Mathematics,Harbin Engineering University,35.5
Natural Sciences,Mathematics,Heidelberg University,33.4
Natural Sciences,Mathematics,Huazhong University of Science and Technology,60.9
Natural Sciences,Mathematics,Huzhou University,39.7
Natural Sciences,Mathematics,Indiana University Bloomington,30.1
Natural Sciences,Mathematics,"International Islamic University, Islamabad",36.9
Natural Sciences,Mathematics,Iran University of Science & Technology,33.4
Natural Sciences,Mathematics,Jagiellonian University,41.5
Natural Sciences,Mathematics,Kent State University,29.7
Natural Sciences,Mathematics,Khon Kaen University,39.5
Natural Sciences,Mathematics,King Mongkut's University of Technology Thonburi,40.3
Natural Sciences,Mathematics,Leibniz University Hannover,31.2
Natural Sciences,Mathematics,Macquarie University,25.2
Natural Sciences,Mathematics,Missouri University of Science and Technology,27.7
Natural Sciences,Mathematics,Nagoya University,26.9
Natural Sciences,Mathematics,Nanjing University,46.5
Natural Sciences,Mathematics,Nankai University,47.6
Natural Sciences,Mathematics,National University of Malaysia,36.7
Natural Sciences,Mathematics,Northeastern University (Shenyang),58.4
Natural Sciences,Mathematics,North-West University,24.0
Natural Sciences,Mathematics,Northwestern Polytechnical University,61.8
Natural Sciences,Mathematics,Osaka University,32.1
Natural Sciences,Mathematics,Polytechnic University of Catalonia,44.7
Natural Sciences,Mathematics,Qassim University,52.5
Natural Sciences,Mathematics,Queen Mary University of London,30.2
Natural Sciences,Mathematics,Qufu Normal University,59.6
Natural Sciences,Mathematics,Sejong University,40.2
Natural Sciences,Mathematics,Seoul National University,47.9
Natural Sciences,Mathematics,Shandong University,68.2
Natural Sciences,Mathematics,Shanghai University,55.8
Natural Sciences,Mathematics,Simon Fraser University,22.0
Natural Sciences,Mathematics,Sorbonne Paris North University,21.8
Natural Sciences,Mathematics,Swansea University,25.8
Natural Sciences,Mathematics,Tata Institute of Fundamental Research,35.4
Natural Sciences,Mathematics,Temple University,20.3
Natural Sciences,Mathematics,Texas A&M University-Kingsville,28.4
Natural Sciences,Mathematics,The Chinese University of Hong Kong,46.7
Natural Sciences,Mathematics,The Hong Kong University of Science and Technology,34.8
Natural Sciences,Mathematics,The University of Hong Kong,35.1
Natural Sciences,Mathematics,The University of Melbourne,30.1
Natural Sciences,Mathematics,Tohoku University,35.8
Natural Sciences,Mathematics,Ton Duc Thang University,53.1
Natural Sciences,Mathematics,TU Dresden,34.9
Natural Sciences,Mathematics,Umm Al-Qura University,40.6
Natural Sciences,Mathematics,University of Augsburg,26.9
Natural Sciences,Mathematics,University of Caen Normandy,27.2
Natural Sciences,Mathematics,"University of California, Davis",31.1
Natural Sciences,Mathematics,"University of California, Santa Cruz",19.5
Natural Sciences,Mathematics,University of Campinas,43.4
Natural Sciences,Mathematics,University of Catania,32.2
Natural Sciences,Mathematics,University of Chile,36.3
Natural Sciences,Mathematics,University of Freiburg,27.7
Natural Sciences,Mathematics,University of Genoa,27.9
Natural Sciences,Mathematics,University of Goettingen,32.0
Natural Sciences,Mathematics,University of Hail,42.8
Natural Sciences,Mathematics,University of Hamburg,30.8
Natural Sciences,Mathematics,University of Helsinki,33.4
Natural Sciences,Mathematics,University of Jena,27.4
Natural Sciences,Mathematics,University of Leipzig,24.0
Natural Sciences,Mathematics,University of Lisbon,47.6
Natural Sciences,Mathematics,University of Lorraine,40.5
Natural Sciences,Mathematics,University of Management and Technology,38.3
Natural Sciences,Mathematics,University of Manitoba,25.0
Natural Sciences,Mathematics,University of Massachusetts Amherst,27.5
Natural Sciences,Mathematics,University of Miami,21.4
Natural Sciences,Mathematics,University of Milan,37.8
Natural Sciences,Mathematics,University of Missouri - Columbia,24.5
Natural Sciences,Mathematics,University of Nantes,28.6
Natural Sciences,Mathematics,University of North Carolina at Chapel Hill,29.3
Natural Sciences,Mathematics,University of Oregon,27.4
Natural Sciences,Mathematics,University of Oslo,31.9
Natural Sciences,Mathematics,University of Pittsburgh,34.6
Natural Sciences,Mathematics,University of Salamanca,35.2
Natural Sciences,Mathematics,University of Seville,53.7
Natural Sciences,Mathematics,University of St Andrews,17.9
Natural Sciences,Mathematics,University of Stuttgart,32.0
Natural Sciences,Mathematics,University of Tabuk,37.3
Natural Sciences,Mathematics,University of the Basque Country,41.6
Natural Sciences,Mathematics,Ural Federal University,40.3
Natural Sciences,Mathematics,Vanderbilt University,26.3
Natural Sciences,Mathematics,Vellore Institute of Technology,42.4
Natural Sciences,Mathematics,Wuhan University,57.9
Natural Sciences,Mathematics,Xiangtan University,50.3
Natural Sciences,Mathematics,Aalto University,28.0
Natural Sciences,Mathematics,Adam Mickiewicz University,26.4
Natural Sciences,Mathematics,Ain Shams University,31.1
Natural Sciences,Mathematics,Ajman University,26.6
Natural Sciences,Mathematics,Al Jouf University,31.4
Natural Sciences,Mathematics,Al-Imam Mohammad Ibn Saud Islamic University,38.9
Natural Sciences,Mathematics,Assiut University,33.3
Natural Sciences,Mathematics,Auburn University,26.2
Natural Sciences,Mathematics,Azarbaijan Shahid Madani University,33.3
Natural Sciences,Mathematics,Azerbaijan University,28.5
Natural Sciences,Mathematics,Ben-Gurion University of the Negev,32.3
Natural Sciences,Mathematics,Boston College,21.4
Natural Sciences,Mathematics,Boston University,23.2
Natural Sciences,Mathematics,Carnegie Mellon University,35.2
Natural Sciences,Mathematics,Catholic University of Louvain,27.5
Natural Sciences,Mathematics,Changsha University of Science and Technology,38.8
Natural Sciences,Mathematics,Chongqing Normal University,37.7
Natural Sciences,Mathematics,Clemson University,25.2
Natural Sciences,Mathematics,Dalian University of Technology,54.1
Natural Sciences,Mathematics,Emory University,21.7
Natural Sciences,Mathematics,Goethe University Frankfurt,24.1
Natural Sciences,Mathematics,Gustave Eiffel University,33.0
Natural Sciences,Mathematics,Hacettepe University,20.3
Natural Sciences,Mathematics,Hanyang University,39.7
Natural Sciences,Mathematics,Hohai University,44.0
Natural Sciences,Mathematics,Hong Kong Baptist University,28.7
Natural Sciences,Mathematics,Hunan Normal University,48.8
Natural Sciences,Mathematics,Hunan University,40.7
Natural Sciences,Mathematics,INSA Toulouse,31.2
Natural Sciences,Mathematics,Jazan University,33.9
Natural Sciences,Mathematics,Johannes Kepler University Linz,30.4
Natural Sciences,Mathematics,King Fahd University of Petroleum & Minerals,37.5
Natural Sciences,Mathematics,King Faisal University,34.4
Natural Sciences,Mathematics,King Mongkut's University of Technology North Bangkok,33.3
Natural Sciences,Mathematics,Lanzhou University,52.8
Natural Sciences,Mathematics,Lebanese American University,27.7
Natural Sciences,Mathematics,Lehigh University,21.4
Natural Sciences,Mathematics,Masaryk University,26.8
Natural Sciences,Mathematics,Memorial University of Newfoundland,31.0
Natural Sciences,Mathematics,Nanjing Normal University,50.1
Natural Sciences,Mathematics,Nanjing University of Aeronautics and Astronautics,57.7
Natural Sciences,Mathematics,Nanjing University of Science and Technology,50.7
Natural Sciences,Mathematics,Nanyang Technological University,34.6
Natural Sciences,Mathematics,National Sun Yat-Sen University,20.8
Natural Sciences,Mathematics,National Taiwan University,31.6
Natural Sciences,Mathematics,New York University Abu Dhabi,20.8
Natural Sciences,Mathematics,Paris-East Créteil University,29.0
Natural Sciences,Mathematics,Peoples' Friendship University of Russia,47.1
Natural Sciences,Mathematics,Pontifical Catholic University of Chile,31.1
Natural Sciences,Mathematics,Quaid-i-Azam University,33.5
Natural Sciences,Mathematics,RWTH Aachen University,37.5
Natural Sciences,Mathematics,Shandong Normal University,50.1
Natural Sciences,Mathematics,Sohag University,28.6
Natural Sciences,Mathematics,Stockholm University,22.6
Natural Sciences,Mathematics,Taibah University,33.9
Natural Sciences,Mathematics,"The Chinese University of Hong Kong, Shenzhen",26.1
Natural Sciences,Mathematics,The University of Western Australia,25.9
Natural Sciences,Mathematics,Tianjin University,50.0
Natural Sciences,Mathematics,Toulouse Capitole University,32.9
Natural Sciences,Mathematics,Universidad Politecnica de Cartagena,27.9
Natural Sciences,Mathematics,University at Albany (State University of New York),16.4
Natural Sciences,Mathematics,University of Arizona,26.6
Natural Sciences,Mathematics,University of Aveiro,28.6
Natural Sciences,Mathematics,University of Bologna,41.2
Natural Sciences,Mathematics,University of Cantabria,28.7
Natural Sciences,Mathematics,University of Central Florida,29.8
Natural Sciences,Mathematics,University of Colorado at Boulder,35.5
Natural Sciences,Mathematics,University of Craiova,35.6
Natural Sciences,Mathematics,University of Debrecen,19.6
Natural Sciences,Mathematics,University of Duisburg-Essen,33.7
Natural Sciences,Mathematics,University of Houston,29.3
Natural Sciences,Mathematics,University of Iowa,29.5
Natural Sciences,Mathematics,University of Jeddah,38.8
Natural Sciences,Mathematics,University of Jordan,26.9
Natural Sciences,Mathematics,University of Lahore,28.2
Natural Sciences,Mathematics,University of Malakand,27.1
Natural Sciences,Mathematics,University of Milano-Bicocca,35.6
Natural Sciences,Mathematics,University of Nottingham,25.2
Natural Sciences,Mathematics,University of Palermo,28.6
Natural Sciences,Mathematics,University of Parma,26.7
Natural Sciences,Mathematics,University of Pavia,37.0
Natural Sciences,Mathematics,University of Perugia,27.9
Natural Sciences,Mathematics,University of Peshawar,33.6
Natural Sciences,Mathematics,University of Poitiers,20.5
Natural Sciences,Mathematics,University of Roma - Tor Vergata,39.1
Natural Sciences,Mathematics,University of Sargodha,34.7
Natural Sciences,Mathematics,University of the Punjab,32.0
Natural Sciences,Mathematics,University of Toulouse-Jean Jaurès,30.6
Natural Sciences,Mathematics,University of Trento,34.7
Natural Sciences,Mathematics,University of York,20.1
Natural Sciences,Mathematics,Utrecht University,27.2
Natural Sciences,Mathematics,Vilnius University,36.9
Natural Sciences,Mathematics,Virginia Polytechnic Institute and State University,32.7
Natural Sciences,Mathematics,Waseda University,33.8
Natural Sciences,Mathematics,Washington University in St. Louis,29.6
Natural Sciences,Mathematics,Wilfrid Laurier University,20.0
Natural Sciences,Mathematics,Xiamen University,52.8
Natural Sciences,Mathematics,Yonsei University,43.2
Natural Sciences,Mathematics,Yulin Normal University,26.6
Natural Sciences,Mathematics,Zagazig University,34.4
Natural Sciences,Mathematics,Abdul Wali Khan University Mardan,24.8
Natural Sciences,Mathematics,Air University,23.7
Natural Sciences,Mathematics,Al-Balqa Applied University,24.9
Natural Sciences,Mathematics,Alexandria University,25.9
Natural Sciences,Mathematics,Bahcesehir University,23.8
Natural Sciences,Mathematics,Baku State University,20.5
Natural Sciences,Mathematics,Bar-Ilan University,26.9
Natural Sciences,Mathematics,Beijing Jiaotong University,41.5
Natural Sciences,Mathematics,Beijing University of Posts and Telecommunications,34.7
Natural Sciences,Mathematics,Budapest University of Technology and Economics,26.9
Natural Sciences,Mathematics,Central China Normal University,44.9
Natural Sciences,Mathematics,Charles University in Prague,40.4
Natural Sciences,Mathematics,Chengdu University,29.5
Natural Sciences,Mathematics,Chiang Mai University,37.7
Natural Sciences,Mathematics,China University of Geosciences,36.5
Natural Sciences,Mathematics,China University of Mining and Technology,41.9
Natural Sciences,Mathematics,Chongqing University,48.0
Natural Sciences,Mathematics,Damietta University,21.8
Natural Sciences,Mathematics,Drexel University,19.5
Natural Sciences,Mathematics,Duzce University,28.5
Natural Sciences,Mathematics,Eindhoven University of Technology,27.2
Natural Sciences,Mathematics,Ferdowsi University of Mashhad,27.3
Natural Sciences,Mathematics,Fırat University,28.0
Natural Sciences,Mathematics,George Mason University,23.6
Natural Sciences,Mathematics,Government College University Lahore,30.4
Natural Sciences,Mathematics,Guizhou University,38.5
Natural Sciences,Mathematics,Hangzhou Dianzi University,41.2
Natural Sciences,Mathematics,Hasselt University,20.9
Natural Sciences,Mathematics,Henan Polytechnic University,41.2
Natural Sciences,Mathematics,Hokkaido University,26.2
Natural Sciences,Mathematics,Indian Statistical Institute,28.0
Natural Sciences,Mathematics,Iowa State University,27.4
Natural Sciences,Mathematics,Jiangnan University,32.1
Natural Sciences,Mathematics,Jiangsu University,38.9
Natural Sciences,Mathematics,Jilin University,49.4
Natural Sciences,Mathematics,Keio University,21.2
Natural Sciences,Mathematics,Kyung Hee University,36.2
Natural Sciences,Mathematics,Laval University,20.1
Natural Sciences,Mathematics,Majmaah University,27.2
Natural Sciences,Mathematics,Menofia University,31.8
Natural Sciences,Mathematics,Nanjing University of Information Science & Technology,44.5
Natural Sciences,Mathematics,National Technical University of Athens,34.3
Natural Sciences,Mathematics,National Tsing Hua University,22.9
Natural Sciences,Mathematics,National University of Sciences and Technology Pakistan,31.6
Natural Sciences,Mathematics,National Yunlin University of Science and Technology,26.4
Natural Sciences,Mathematics,Near East University,25.7
Natural Sciences,Mathematics,North Carolina State University - Raleigh,33.2
Natural Sciences,Mathematics,Northeastern University (Boston),24.8
Natural Sciences,Mathematics,Oklahoma State University,23.4
Natural Sciences,Mathematics,Polytechnic University of Bucharest,39.7
Natural Sciences,Mathematics,Qingdao University,37.9
Natural Sciences,Mathematics,Queensland University of Technology,26.8
Natural Sciences,Mathematics,Saarland University,20.3
Natural Sciences,Mathematics,Sefako Makgatho Health Sciences University,32.1
Natural Sciences,Mathematics,Shanghai Normal University,41.9
Natural Sciences,Mathematics,Shenzhen University,42.7
Natural Sciences,Mathematics,Siirt University,25.4
Natural Sciences,Mathematics,South China Normal University,50.8
Natural Sciences,Mathematics,South China University of Technology,49.3
Natural Sciences,Mathematics,South Ural State University,28.4
Natural Sciences,Mathematics,Southwest University,47.8
Natural Sciences,Mathematics,Southwestern University of Finance and Economics,41.0
Natural Sciences,Mathematics,Technical University of Denmark,24.7
Natural Sciences,Mathematics,The University of Memphis,18.8
Natural Sciences,Mathematics,The University of Reading,23.4
Natural Sciences,Mathematics,The University of Sheffield,19.0
Natural Sciences,Mathematics,Thu Dau Mot University,28.2
Natural Sciences,Mathematics,Tiangong University,33.8
Natural Sciences,Mathematics,Transilvania University of Brasov,33.5
Natural Sciences,Mathematics,Universidad de Santiago de Chile,21.8
Natural Sciences,Mathematics,Université libre de Bruxelles (ULB),26.1
Natural Sciences,Mathematics,University of Bari,35.3
Natural Sciences,Mathematics,University of Denver,15.6
Natural Sciences,Mathematics,University of East Anglia,12.0
Natural Sciences,Mathematics,University of Galway,27.3
Natural Sciences,Mathematics,University of Gothenburg,27.2
Natural Sciences,Mathematics,University of Haifa,24.9
Natural Sciences,Mathematics,University of Liverpool,22.0
Natural Sciences,Mathematics,University of Maribor,33.0
Natural Sciences,Mathematics,University of Nis,35.9
Natural Sciences,Mathematics,University of Oradea,25.0
Natural Sciences,Mathematics,University of Ottawa,21.5
Natural Sciences,Mathematics,University of Oviedo,33.4
Natural Sciences,Mathematics,University of Primorska,20.3
Natural Sciences,Mathematics,University of Southampton,24.9
Natural Sciences,Mathematics,University of Strathclyde,28.9
Natural Sciences,Mathematics,University of Texas Rio Grande Valley,26.8
Natural Sciences,Mathematics,University of The Free State,22.3
Natural Sciences,Mathematics,University of Trieste,23.6
Natural Sciences,Mathematics,University of Turku,19.5
Natural Sciences,Mathematics,University of Wollongong,25.3
Natural Sciences,Mathematics,University of Wroclaw,22.9
Natural Sciences,Mathematics,University of Wuerzburg,27.5
Natural Sciences,Mathematics,University Putra Malaysia,28.9
Natural Sciences,Mathematics,Vrije Universiteit Brussel (VUB),17.3
Natural Sciences,Mathematics,Wayne State University,29.0
Natural Sciences,Mathematics,Western University,24.9
Natural Sciences,Mathematics,Wuhan University of Technology,33.6
Natural Sciences,Mathematics,Xinjiang University,47.5
Natural Sciences,Mathematics,Zhengzhou University,49.6
Natural Sciences,Physics,Massachusetts Institute of Technology (MIT),79.1
Natural Sciences,Physics,Princeton University,69.3
Natural Sciences,Physics,Stanford University,69.1
Natural Sciences,Physics,"University of California, Berkeley",75.4
Natural Sciences,Physics,California Institute of Technology,79.7
Natural Sciences,Physics,The University of Tokyo,83.9
Natural Sciences,Physics,Harvard University,73.6
Natural Sciences,Physics,Paris-Saclay University,86.7
Natural Sciences,Physics,University of Oxford,72.1
Natural Sciences,Physics,The University of Manchester,56.4
Natural Sciences,Physics,University of Cambridge,78.1
Natural Sciences,Physics,Sapienza University of Rome,53.8
