university,ranking
Federal University of Rio Grande do Sul,11.0
Halmstad University,3.5
Kennesaw State University,5.0
King Juan Carlos University,15.9
Lithuanian Sports University,23.0
Manchester Metropolitan University,24.5
Middlesex University,9.5
Murdoch University,13.4
Northwestern University,20.7
Peking University,23.2
Pennsylvania State University - University Park,23.6
Qatar University,3.4
San Diego State University,10.1
Sheffield Hallam University,15.8
Swansea University,16.3
Texas A&M University,29.7
"The Swedish School of Sport and Health Sciences, GIH",19.3
The University of Auckland,9.2
The University of Edinburgh,6.1
The University of Georgia,18.0
Camilo Jose Cela University,4.2
Universidad de La Frontera,9.8
University of Brighton,10.6
University of Central Lancashire,10.6
University of Côte d'Azur,14.9
University of Girona,13.6
University of Gloucestershire,10.7
University of Graz,12.6
University of Lausanne,21.8
University of Lisbon,16.8
University of Michigan-Ann Arbor,28.9
University of Missouri - Columbia,12.8
University of Nantes,3.1
University of Otago,8.3
University of Portsmouth,11.0
University of Salford,6.9
University of Saskatchewan,12.0
University of Stirling,20.4
University of Technology Sydney,10.5
University of the Sunshine Coast,15.1
University of the West of Scotland,10.4
University of Thessaly,15.2
University of Washington,16.9
University of Zaragoza,29.1
Academy of Physical Education in Katowice,30.2
Bangor University,5.6
California State University-Fullerton,7.4
Central Queensland University,4.1
Federal University of Goiás,7.9
Federal University of Rio de Janeiro,34.3
Florida Atlantic University,2.8
Karlsruhe Institute of Technology (KIT),13.2
Laurentian University,5.9
Linnaeus University,4.0
Marquette University,2.7
Massey University,12.6
McGill University,15.8
Memorial University of Newfoundland,9.2
Michigan State University,17.4
Mid-Sweden University,8.1
National Taiwan Normal University,15.9
Polytechnic University of Madrid,18.9
Rush University,11.1
State University of Londrina,12.3
Texas Tech University,14.6
University of Chichester,7.2
The University of Texas at Austin,24.6
The University of Waikato,3.8
Ulster University,7.5
Universidad de Cadiz,14.0
University of Bayreuth,7.3
University of Bern,9.4
University of Coimbra,16.8
University of Connecticut,15.6
University of Delaware,21.9
University of Essex,13.5
University of Freiburg,11.0
University of Guilan,5.0
University of Innsbruck,20.5
University of Ljubljana,20.4
University of Maia,7.6
University of Mainz,5.8
University of Massachusetts Amherst,14.1
"University of Minnesota, Twin Cities",12.5
University of Mississippi,14.3
University of New Brunswick,6.9
University of Palermo,8.4
University of Rhode Island,4.0
University of Salzburg,9.4
University of Taipei,18.2
University of the Basque Country,18.2
University of Wisconsin La Crosse,4.6
University of Zagreb,17.9
Western University,21.7
Appalachian State University,8.8
Aristotle University of Thessaloniki,17.6
Auburn University,16.6
Brigham Young University,7.6
Brock University,15.6
Catholic University of Brasília,5.3
Charles University in Prague,18.9
Colorado State University,11.2
Democritus University of Thrace,3.4
East Tennessee State University,2.7
Edge Hill University,10.5
Federal University of Sao Paulo,11.3
Federation University Australia,7.3
Gdansk University of Physical Education and Sport,22.8
Goethe University Frankfurt,11.3
Hacettepe University,7.0
HAN University of Applied Sciences,2.5
Heidelberg University,5.6
Humboldt University of Berlin,3.4
Indiana University Bloomington,15.8
Islamic Azad University,9.3
James Cook University,6.1
Jozef Pilsudski University of Physical Education in Warsaw,20.7
Juntendo University,18.7
Kansas State University,7.4
Karolinska Institute,5.6
Kharazmi University,8.4
Louisiana State University - Baton Rouge,9.3
Miami University-Oxford,8.8
Miguel Hernandez University of Elche,7.6
Mount Royal University,5.6
National and Kapodistrian University of Athens,13.8
Ningbo University,18.6
Opole University of Technology,9.0
Oxford Brookes University,6.3
Palacký University Olomouc,12.5
Purdue University - West Lafayette,10.4
Ruhr University Bochum,7.3
São Paulo State University,24.5
Solent University,6.4
South China Normal University,11.6
"St Mary's University, Twickenham",7.5
Swiss Federal Institute of Sport Magglingen SFISM,4.5
Tel Aviv University,5.8
The Ohio State University - Columbus,10.7
The University of Texas at San Antonio,4.6
Universidad de Leon,6.5
Universidad Pablo de Olavide,12.2
Universidade da Coruna,6.5
Universidade Federal da Paraiba,8.2
Universidade Federal de Juiz de Fora,7.7
Universidade Federal de Pelotas,7.4
Universidade Federal do Espirito Santo,5.8
Universite de la Manouba,10.0
Universite Rennes 2,2.8
"University at Buffalo, the State University of New York",3.6
University of Amsterdam,4.4
University of Bedfordshire,4.1
University of Beira Interior,13.0
University of Belgrade,9.8
University of Brasília,10.2
University of Campinas,9.8
University of Castilla–La Mancha,12.7
University of Hamburg,7.5
University of Hull,7.2
University of Isfahan,6.8
University of Jendouba,8.4
University of Kentucky,21.1
University of Leipzig,6.3
University of Lincoln,4.2
University of Malaya,9.0
University of Manitoba,11.2
University of Montreal,18.1
University of Nis,7.0
University of North Carolina at Greensboro,12.5
University of Novi Sad,12.4
University of Pernambuco,5.4
University of Physical Education,10.3
University of Poitiers,4.0
University of Regina,7.5
University of Rouen Normandy,4.1
University of Seville,7.3
University of Sherbrooke,3.5
University of Southern California,16.2
University of Split,9.7
University of Tartu,6.0
University of Tehran,10.9
University of Tennessee - Knoxville,7.6
University of Tras-os-Montes & Alto Douro,9.4
University of Turin,3.0
University of Valencia,20.2
University of Vermont,6.6
University of Vienna,11.1
University of Vigo,14.7
University of Virginia,10.7
University of Wisconsin - Madison,13.8
University of Worcester,3.5
West Virginia University,8.3
Wilfrid Laurier University,7.9
Wuhan Sports University,17.7
